outageID|percentageFailedTraceroutes|percentageCouldPredictNextIP|problemPrefixes|problemAS
36|0.46702500167272565|97.134670487106|99.11504424778761|set([])|set([])
76|0.6685655691010596|71.37014314928425|8.595988538681947|set([])|set([])
20|0.24896265560165975|38.46153846153847|0.0|set([])|set([])
60|0.2628032345013477|92.3076923076923|0.0|set([])|set([])
57|0.029940119760479042|50.0|0.0|set([])|set([])
0|0.054614964500273075|70.0|14.285714285714285|set([])|set([])
17|0.13219284603421463|72.54901960784314|8.108108108108109|set([])|set([])
41|0.8370529914135086|40.480132450331126|57.259713701431494|set([])|set([])
74|0.03225112878950763|33.33333333333333|0.0|set([])|set([])
34|0.6507230255839822|89.95726495726495|64.37054631828978|set([])|set([])
39|0.1914893617021277|72.46376811594203|36.0|set([])|set([])
62|0.4031149793861658|96.96969696969697|91.40625|set([])|set([])
22|0.018407166523499816|100.0|0.0|set([])|set([])
15|0.22970903522205208|67.5|57.407407407407405|set([])|set([])
2|0.34048168921148136|43.02325581395349|5.405405405405405|set([])|set([])
55|0.4198473282442748|57.14285714285714|18.181818181818183|set([])|set([])
58|0.3068215100065117|59.76258698321736|3.8356164383561646|set([])|set([])
18|0.49598773596196605|51.272653227448586|4.0508339952343135|set([])|set([])
43|0|NoTR|NoFTR|set([])|set([])
64|0.22838111097894612|58.333333333333336|14.285714285714285|set([])|set([])
24|0|NoTR|NoFTR|set([])|set([])
72|0.05384615384615385|50.0|42.857142857142854|set([])|set([])
32|0.24985640436530732|65.51724137931035|2.631578947368421|set([])|set([])
29|0.3300477897252091|47.511312217194565|0.0|set([])|set([])
69|2.263391059202578|95.01779359430606|56.92883895131086|set([])|set([])
9|0.43893517577728103|46.60493827160494|26.490066225165563|set([])|set([])
45|0.028757151843752805|62.5|0.0|set([])|set([])
13|0.46381659459900465|85.75197889182058|18.461538461538463|set([])|set([])
53|0.1509343555342597|61.904761904761905|23.076923076923077|set([])|set([])
4|0.08540925266903915|30.76923076923077|25.0|set([])|set([])
48|0.2242681775259679|78.94736842105263|44.0|set([])|set([])
26|0.08027352460234875|97.22222222222221|2.857142857142857|set([])|set([])
66|0.45536927956502044|50.74626865671642|36.76470588235294|set([])|set([])
30|0.3404001194386384|60.81871345029239|32.69230769230769|set([])|set([])
70|0.01602735334971685|90.0|55.55555555555556|set([])|set([])
47|0.49847281612706174|85.88235294117646|70.54794520547945|set([])|set([])
6|0.40772431851124513|86.46788990825688|73.20954907161804|set([])|set([])
51|0.11772400261608894|83.33333333333334|5.0|set([])|set([])
11|0.6525765125914045|38.32650672908133|58.16793893129771|set([])|set([])
5|0.044163404597008925|48.484848484848484|6.25|set([])|set([])
52|0.417047740991403|59.210526315789465|11.11111111111111|set([])|set([])
12|0.4127326679255463|64.70588235294117|27.27272727272727|set([])|set([])
49|0.15700017522340984|50.89285714285714|45.614035087719294|set([])|set([])
8|0.6866815713829448|86.51162790697674|89.78494623655914|set([])|set([])
44|0.12381883349625285|92.10526315789474|0.0|set([])|set([])
33|2.2313475997686525|46.65629860031104|21.0|set([])|set([])
73|0.6268343815513627|69.56521739130434|12.5|set([])|set([])
68|0.24966344388691714|40.44117647058824|9.090909090909092|set([])|set([])
28|0.46562874251497005|98.4567901234568|99.68652037617555|set([])|set([])
25|0.5869565217391305|89.33333333333333|86.06965174129353|set([])|set([])
65|0.02510460251046025|100.0|0.0|set([])|set([])
10|0.3390864008577846|55.00725689404935|5.013192612137203|set([])|set([])
50|0.3082349332924398|81.2366737739872|61.15485564304461|set([])|set([])
7|0.22387232627729137|40.5940594059406|4.878048780487805|set([])|set([])
46|0.44974606886682145|75.55296856810244|61.016949152542374|set([])|set([])
71|0.32914563197740837|66.68831168831169|0.5842259006815969|set([])|set([])
31|0.665934065934066|94.55445544554455|73.29842931937172|set([])|set([])
67|0.015247001423053465|90.0|55.55555555555556|set([])|set([])
27|0.04411764705882353|66.66666666666666|0.0|set([])|set([])
40|0.412215024817027|71.83673469387755|65.9090909090909|set([])|set([])
16|0.9441496348447432|92.15358931552588|96.19565217391305|set([])|set([])
1|0.4959264873057977|98.28080229226362|98.54227405247813|set([])|set([])
56|0.12744550027948576|96.49122807017544|94.54545454545455|set([])|set([])
61|0.28512798358354036|74.54545454545455|45.1219512195122|set([])|set([])
21|1.4229746746886807|93.43657817109144|31.886345698500396|set([])|set([])
37|0.5120910384068279|79.16666666666666|52.63157894736842|set([])|set([])
19|0.20954598370197902|22.22222222222222|0.0|set([])|set([])
59|0.08496732026143791|38.46153846153847|20.0|set([])|set([])
42|0.6289451753132375|97.63458401305057|80.28404344193818|set([])|set([])
54|0.23235084383170906|41.17647058823529|27.32919254658385|set([])|set([])
3|0.3623849989465552|95.08050089445437|90.40451552210725|set([])|set([])
14|1.0547063555913114|96.10983981693364|92.14285714285714|set([])|set([])
38|0.49776286353467564|71.91011235955057|58.59375|set([])|set([])
23|0.11096605744125326|94.11764705882352|84.375|set([])|set([])
63|0.4571552714068464|96.5376782077393|96.62447257383965|set([])|set([])
35|0.18838709677419355|47.94520547945205|20.0|set([])|set([])
75|0.4469906766004808|40.83668098074526|11.49932157394844|set([])|set([])
