outageID|trRateSucc|trRateOtSucc|trrRefSucc|trrCalcSucc|trRateFail|trRateOtFail|trrRefFail|trrCalcFail|percentageFailedTraceroutes|percentageCouldPredictNextIP|problemProbes|lenProblemProbes|problemProbePrefixes24|lenProblemProbePrefixes24|problemPrefixes|lenProblemPrefixes|problemPrefixes24|lenProblemPrefixes24|defOutagePrefixes|lenDefOutagePrefixes|defOutageProbePrefixes|lenDefOutageProbePrefixes|problemAS|problemProbeAS
36|0.01|0.47|1.0|0.02|0.46|0.27|1.0|1.7|97.99426934097421|99.12280701754386|set([21856, 21922, 18723, 23409, 25480, 18669, 27184, 21713, 14484, 14453, 18679, 18621, 24991])|13|set([u'202.144.152.0/24', u'202.144.157.0/24', u'202.144.130.0/24', u'202.144.133.0/24', u'119.2.127.0/24', u'119.2.115.0/24', u'119.2.119.0/24', u'202.144.158.0/24'])|8|set(['103.245.240.0/22', '202.144.128.0/19'])|2|set(['202.144.141.0/24', '202.144.133.0/24', '202.144.148.0/24', '103.245.240.0/24', '202.144.145.0/24', '202.144.132.0/24'])|6|set([])|0|set([])|0|set(['17660'])|set([17660])
76|0.19|0.53|0.98|0.36|0.48|0.28|1.0|1.71|71.37014314928425|8.595988538681947|set([3267, 14695, 24553, 14279, 3188, 1240, 16185, 15098, 17533, 14686])|10|set([u'5.157.127.0/24', u'149.71.135.0/24', u'149.71.130.0/24', u'88.149.250.0/24', u'185.11.20.0/24', u'88.149.172.0/24', u'81.174.31.0/24', u'88.147.93.0/24'])|8|set(['194.116.96.0/19', '192.5.5.0/24', '192.203.230.0/24', '140.6.0.0/16', '193.0.14.0/24', '195.66.224.0/22', '166.49.128.0/17', '213.133.96.0/19', '78.46.0.0/15', '84.205.83.0/24', '81.174.0.0/18'])|11|set(['166.49.208.0/24', '194.116.96.0/24', '192.5.5.0/24', '192.203.230.0/24', '193.0.14.0/24', '140.6.0.0/24', '166.49.243.0/24', '81.174.0.0/24', '213.133.109.0/24', '195.66.226.0/24', '84.205.83.0/24', '78.46.48.0/24'])|12|set([IPv4Network(u'81.174.0.0/24'), IPv4Network(u'213.133.109.0/24')])|2|set([IPv4Network(u'5.157.127.0/24'), IPv4Network(u'149.71.135.0/24'), IPv4Network(u'149.71.130.0/24'), IPv4Network(u'88.149.250.0/24'), IPv4Network(u'185.11.20.0/24'), IPv4Network(u'81.174.31.0/24'), IPv4Network(u'88.149.172.0/24')])|7|set(['3557', '25152', '35612', '25309', '5400', '42', '768', '24940', '12654', '34984', '297'])|set([35612])
20|0.04|0.53|0.98|0.08|0.03|0.23|1.04|0.13|46.15384615384615|8.333333333333332|set([14206, 19566])|2|set([u'194.158.78.0/24', u'91.187.93.0/24'])|2|set(['176.52.248.0/21'])|1|set(['176.52.253.0/24'])|1|set([])|0|set([])|0|set(['12956'])|set([6752])
60|0.01|0.48|1.16|0.02|0.06|0.31|0.79|0.19|92.3076923076923|0.0|set([14206])|1|set([u'194.158.78.0/24'])|1|set([])|0|set([])|0|set([])|0|set([])|0|set([])|set([6752])
57|0.01|0.51|0.98|0.02|0.01|0.27|1.08|0.04|50.0|0.0|set([18544, 18759])|2|set([u'85.94.181.0/24'])|1|set([])|0|set([])|0|set([])|0|set([])|0|set([])|set([6752])
0|0.01|0.44|0.96|0.02|0.02|0.41|1.02|0.05|70.0|14.285714285714285|set([15944, 14419])|2|set([u'41.85.184.0/24'])|1|set(['41.85.160.0/19'])|1|set(['41.85.188.0/24'])|1|set([])|0|set([])|0|set(['28683'])|set([28683])
17|0.02|0.41|1.45|0.05|0.06|0.36|0.66|0.17|78.43137254901961|7.5|set([22112, 803, 21404, 14709, 918, 22204])|6|set([u'93.108.214.0/24', u'89.115.187.0/24', u'188.37.67.0/24', u'89.114.159.0/24', u'89.115.113.0/24'])|5|set(['140.6.0.0/16'])|1|set(['140.6.0.0/24'])|1|set([])|0|set([])|0|set(['768'])|set([12353])
41|0.49|1.12|1.0|0.44|0.35|0.29|1.0|1.21|41.556291390728475|56.77290836653387|set([20449, 20421, 18790, 18727, 6089, 18794, 18731, 18732, 18185, 18643, 18772, 18729, 22617, 20410, 18716, 20477, 18719])|17|set([u'192.248.24.0/24', u'192.248.93.0/24', u'192.248.100.0/24', u'192.248.94.0/24', u'192.248.73.0/24', u'124.43.64.0/24', u'192.248.64.0/24', u'192.248.14.0/24', u'223.224.15.0/24', u'192.248.87.0/24', u'192.248.88.0/24', u'192.248.4.0/24', u'192.248.1.0/24', u'192.248.56.0/24', u'192.248.104.0/24', u'192.248.21.0/24'])|16|set(['192.5.5.0/24', '140.6.0.0/16', '80.249.208.0/21', '113.197.0.0/20', '192.112.36.0/24', '198.71.45.0/24', '203.133.248.0/24', '62.40.96.0/19', '158.64.0.0/16', '195.22.192.0/19', '154.48.0.0/12', '192.36.148.0/24', '143.56.0.0/16', '5.57.16.0/22', '37.49.232.0/21', '65.100.13.0/24', '203.181.194.0/23', '149.6.0.0/15', '203.48.0.0/14', '198.120.0.0/14', '221.120.224.0/19', '213.29.0.0/16', '199.16.95.0/24', '200.160.0.0/20', '222.165.128.0/18', '203.181.248.0/23', '72.52.92.0/24', '213.239.192.0/18', '130.117.0.0/16', '80.81.192.0/22', '94.186.128.0/17', '194.150.191.0/24', '199.252.154.0/24', '202.147.0.0/18', '195.30.0.0/16', '208.80.152.0/23', '80.91.240.0/20', '192.248.0.0/17', '202.179.248.0/21', '62.115.0.0/16', '5.57.17.0/24', '195.66.240.0/22'])|42|set(['143.56.244.0/24', '192.5.5.0/24', '62.115.134.0/24', '140.6.244.0/24', '80.249.208.0/24', '37.49.233.0/24', '203.133.248.0/24', '138.193.101.0/24', '222.165.177.0/24', '198.123.41.0/24', '65.100.13.0/24', '80.91.247.0/24', '207.231.240.0/24', '94.186.129.0/24', '192.36.148.0/24', '62.40.124.0/24', '5.57.16.0/24', '149.6.155.0/24', '192.248.0.0/24', '195.22.214.0/24', '203.181.249.0/24', '203.181.194.0/24', '80.81.194.0/24', '113.197.15.0/24', '199.16.95.0/24', '195.66.241.0/24', '221.120.254.0/24', '128.161.3.0/24', '202.179.249.0/24', '149.6.149.0/24', '80.241.46.0/24', '203.181.248.0/24', '195.30.70.0/24', '203.50.51.0/24', '72.52.92.0/24', '200.160.0.0/24', '198.71.45.0/24', '202.147.50.0/24', '154.54.77.0/24', '222.165.175.0/24', '208.80.152.0/24', '80.81.192.0/24', '62.40.98.0/24', '213.239.245.0/24', '194.150.191.0/24', '5.57.17.0/24', '62.115.113.0/24', '192.112.36.0/24', '222.165.149.0/24', '213.29.169.0/24', '158.64.16.0/24', '199.252.154.0/24', '130.117.49.0/24', '192.248.1.0/24', '138.193.111.0/24'])|55|set([IPv4Network(u'113.197.15.0/24'), IPv4Network(u'199.16.95.0/24'), IPv4Network(u'158.64.16.0/24'), IPv4Network(u'192.248.1.0/24')])|4|set([IPv4Network(u'192.248.93.0/24'), IPv4Network(u'192.248.64.0/24'), IPv4Network(u'192.248.87.0/24'), IPv4Network(u'192.248.4.0/24'), IPv4Network(u'192.248.1.0/24'), IPv4Network(u'192.248.88.0/24')])|6|set(['22548', '768', '1221', '668', '17557', '48918', '1200', '10026', '7660', '9329', '7342', '29216', '24490', '174', '3557', '5459', '12693', '57734', '6762', '5588', '1299', '20965', '33988', '2602', '3910', '209', '5927', '24940', '14907', '4608', '7575', '5539', '6939', '43996', '47872', '11537', '721', '297', '38229'])|set([9329, 38229, 132045])
74|0.01|0.57|1.0|0.02|0.01|0.23|1.05|0.04|46.666666666666664|0.0|set([15969, 18762, 18573, 18576, 18744, 14206])|6|set([u'194.158.78.0/24', u'91.187.94.0/24', u'109.111.99.0/24', u'85.94.170.0/24'])|4|set([])|0|set([])|0|set([])|0|set([])|0|set([])|set([6752])
34|0.01|0.36|1.09|0.03|0.39|0.32|1.03|1.22|97.43589743589743|66.00877192982456|set([16065, 15078, 12134, 2289, 15222, 14362, 1178, 15039])|8|set([u'24.94.68.0/24', u'98.145.17.0/24', u'104.173.247.0/24', u'72.130.198.0/24', u'104.175.179.0/24', u'24.94.65.0/24', u'76.90.129.0/24', u'45.49.60.0/24'])|8|set(['107.14.16.0/20', '66.75.0.0/16', '202.84.128.0/17', '66.109.0.0/20', '197.80.0.0/13', '72.129.0.0/17'])|6|set(['197.80.104.0/24', '72.129.29.0/24', '202.84.140.0/24', '72.129.37.0/24', '66.75.161.0/24', '72.129.9.0/24', '107.14.19.0/24', '66.109.6.0/24', '72.129.5.0/24', '72.129.1.0/24', '72.129.17.0/24', '107.14.17.0/24', '72.129.25.0/24', '72.129.21.0/24', '72.129.13.0/24', '72.129.27.0/24', '72.129.61.0/24'])|17|set([])|0|set([])|0|set(['10474', '4637', '20001', '7843'])|set([20001])
