outageID|percentageFailedTraceroutes|percentageCouldPredictNextIP|problemPrefixes|problemAS
36|97.134670487106|99.11504424778761|set(['103.245.240.0/22', '202.144.128.0/19'])|set(['17660'])
76|71.37014314928425|8.595988538681947|set(['194.116.96.0/19', '192.5.5.0/24', '192.203.230.0/24', '140.6.0.0/16', '193.0.14.0/24', '195.66.224.0/22', '166.49.128.0/17', '213.133.96.0/19', '78.46.0.0/15', '84.205.83.0/24', '81.174.0.0/18'])|set(['3557', '25152', '35612', '25309', '5400', '42', '768', '24940', '12654', '34984', '297'])
20|38.46153846153847|0.0|set([])|set([])
60|92.3076923076923|0.0|set([])|set([])
57|50.0|0.0|set([])|set([])
0|70.0|14.285714285714285|set(['41.85.160.0/19'])|set(['28683'])
17|72.54901960784314|8.108108108108109|set(['140.6.0.0/16'])|set(['768'])
41|40.480132450331126|57.259713701431494|set(['192.5.5.0/24', '140.6.0.0/16', '80.249.208.0/21', '113.197.0.0/20', '192.112.36.0/24', '198.71.45.0/24', '203.133.248.0/24', '62.40.96.0/19', '158.64.0.0/16', '195.22.192.0/19', '154.48.0.0/12', '192.36.148.0/24', '143.56.0.0/16', '5.57.16.0/22', '65.100.13.0/24', '203.181.194.0/23', '149.6.0.0/15', '203.48.0.0/14', '198.120.0.0/14', '221.120.224.0/19', '213.29.0.0/16', '199.16.95.0/24', '200.160.0.0/20', '222.165.128.0/18', '203.181.248.0/23', '72.52.92.0/24', '213.239.192.0/18', '130.117.0.0/16', '80.81.192.0/22', '94.186.128.0/17', '194.150.191.0/24', '199.252.154.0/24', '202.147.0.0/18', '195.30.0.0/16', '208.80.152.0/23', '80.91.240.0/20', '192.248.0.0/17', '202.179.248.0/21', '62.115.0.0/16', '5.57.17.0/24', '195.66.240.0/22'])|set(['22548', '768', '1221', '668', '17557', '48918', '1200', '10026', '7660', '9329', '7342', '29216', '24490', '174', '3557', '5459', '12693', '6762', '5588', '1299', '20965', '33988', '2602', '3910', '209', '5927', '24940', '14907', '4608', '7575', '5539', '6939', '43996', '47872', '11537', '721', '297', '38229'])
74|33.33333333333333|0.0|set([])|set([])
34|89.95726495726495|64.37054631828978|set(['107.14.16.0/20', '66.75.0.0/16', '202.84.128.0/17', '66.109.0.0/20', '197.80.0.0/13', '72.129.0.0/17'])|set(['10474', '4637', '20001', '7843'])
39|72.46376811594203|36.0|set(['24.162.224.0/19', '198.120.0.0/14', '192.112.36.0/24', '66.26.32.0/19'])|set(['297', '5927', '11426'])
62|96.96969696969697|91.40625|set(['116.51.16.0/20', '103.245.240.0/22', '202.144.128.0/19'])|set(['2914', '17660'])
22|100.0|0.0|set([])|set([])
15|67.5|57.407407407407405|set(['185.48.240.0/22', '46.162.192.0/19', '195.66.224.0/22', '91.103.63.0/24', '140.6.0.0/16'])|set(['44395', '768', '41965', '8932', '34984'])
2|43.02325581395349|5.405405405405405|set(['152.176.0.0/12', '4.0.0.0/8'])|set(['3356', '701'])
55|57.14285714285714|18.181818181818183|set(['143.56.0.0/16', '130.152.0.0/16', '130.244.0.0/16', '203.208.128.0/17'])|set(['668', '1257', '7473', '226'])
58|59.76258698321736|3.8356164383561646|set(['80.249.208.0/21', '192.112.36.0/24', '213.133.96.0/19', '78.46.0.0/15', '68.86.80.0/20', '202.149.192.0/19'])|set(['17762', '47872', '7922', '1200', '24940', '5927'])
18|51.272653227448586|4.0508339952343135|set(['141.136.96.0/20', '134.102.0.0/16', '46.29.120.0/21', '195.69.144.0/22', '31.15.112.0/21', '84.233.128.0/17', '203.133.248.0/24', '62.40.96.0/19', '4.0.0.0/8', '194.109.0.0/16', '154.48.0.0/12', '143.56.0.0/16', '138.187.128.0/18', '65.100.13.0/24', '216.66.0.0/19', '130.152.0.0/16', '83.167.32.0/19', '83.212.0.0/16', '199.16.95.0/24', '129.250.0.0/16', '213.239.192.0/18', '66.198.64.0/20', '198.71.45.0/24', '202.12.27.0/24', '192.1.100.0/24', '195.219.0.0/16', '192.112.36.0/24', '193.95.128.0/18', '213.248.64.0/18'])|set(['8218', '668', '1200', '6453', '4436', '7342', '11488', '174', '35625', '3303', '3257', '1299', '20965', '2110', '8928', '2914', '3910', '209', '56704', '24940', '3356', '3265', '4608', '226', '6939', '5927', '11537', '5408', '7500', '680'])
43|NA|NA|set([])|set([])
64|58.333333333333336|14.285714285714285|set(['199.252.155.0/24'])|set(['721'])
24|NA|NA|set([])|set([])
72|50.0|42.857142857142854|set(['62.115.0.0/16', '140.6.0.0/16', '213.239.192.0/18'])|set(['768', '1299', '24940'])
32|65.51724137931035|2.631578947368421|set(['80.81.192.0/22'])|set(['12693'])
29|47.511312217194565|0.0|set([])|set([])
69|95.01779359430606|56.92883895131086|set(['74.82.46.0/24', '195.66.224.0/22', '149.6.0.0/15', '222.165.128.0/18', '202.1.206.0/24', '202.1.205.0/24'])|set(['174', '7642', '9329', '6939', '34984'])
9|46.60493827160494|26.490066225165563|set(['80.236.0.0/18', '208.46.32.0/20', '130.244.0.0/16'])|set(['209', '1257', '21502'])
45|62.5|0.0|set([])|set([])
13|85.75197889182058|18.461538461538463|set(['192.5.5.0/24', '129.250.0.0/16', '94.186.178.0/24', '199.7.83.0/24', '130.152.0.0/16', '65.100.13.0/24', '78.46.0.0/15', '213.239.192.0/18', '195.219.0.0/16', '195.22.192.0/19', '213.133.96.0/19', '80.231.0.0/16', '199.7.55.0/24', '202.12.27.0/24', '194.109.0.0/16', '199.16.95.0/24'])|set(['3557', '2914', '20144', '7342', '3910', '209', '7500', '24940', '6762', '6453', '3265', '48918', '226', '36623'])
53|61.904761904761905|23.076923076923077|set(['143.56.0.0/16', '192.203.230.0/24'])|set(['297', '42', '668'])
4|30.76923076923077|25.0|set(['192.228.79.0/24'])|set(['226'])
48|78.94736842105263|44.0|set(['140.6.0.0/16', '195.22.192.0/19', '149.3.176.0/21'])|set(['768', '6762'])
26|97.22222222222221|2.857142857142857|set(['198.41.0.0/24'])|set(['36620', '36631', '36619', '36622'])
66|50.74626865671642|36.76470588235294|set(['143.56.0.0/16', '193.156.0.0/15'])|set(['224', '668'])
30|60.81871345029239|32.69230769230769|set(['80.236.0.0/18', '192.5.5.0/24', '192.203.230.0/24', '192.36.148.0/24', '193.105.163.0/24', '193.0.14.0/24', '199.7.83.0/24', '130.244.0.0/16', '149.6.0.0/15', '213.133.96.0/19', '78.46.0.0/15', '198.41.0.0/24', '192.33.4.0/24', '202.12.27.0/24'])|set(['3557', '25152', '13004', '20144', '21502', '36620', '42', '24940', '1257', '36631', '7500', '36622', '29216', '297', '174', '36619', '2149'])
70|90.0|55.55555555555556|set(['193.251.240.0/20', '63.224.0.0/12', '192.112.36.0/24', '192.36.148.0/24'])|set(['5511', '209', '5927', '29216'])
47|85.88235294117646|70.54794520547945|set(['195.3.64.0/18', '213.239.192.0/18', '140.6.0.0/16'])|set(['768', '8447', '24940'])
6|86.46788990825688|73.20954907161804|set(['141.136.96.0/20', '154.48.0.0/12', '143.56.0.0/16', '80.249.208.0/21', '199.7.83.0/24', '89.149.128.0/18', '41.222.192.0/23', '65.100.13.0/24', '77.67.0.0/17', '213.239.192.0/18', '192.5.5.0/24', '41.85.160.0/19', '129.250.0.0/16'])|set(['3557', '47872', '2914', '20144', '668', '209', '3910', '1200', '24940', '3257', '37090', '28683', '4436', '174'])
51|83.33333333333334|5.0|set(['140.6.0.0/16'])|set(['768'])
11|38.32650672908133|58.16793893129771|set(['82.197.160.0/20', '188.95.32.0/21', '89.149.128.0/18', '81.187.0.0/16', '199.16.95.0/24', '195.141.0.0/16', '213.155.128.0/19', '193.29.223.0/24', '80.249.208.0/21', '149.11.0.0/16', '77.109.128.0/19', '195.66.224.0/22', '195.30.0.0/16', '192.112.36.0/24', '4.0.0.0/8', '213.136.0.0/19', '83.217.224.0/19', '38.0.0.0/8', '202.56.192.0/18', '154.48.0.0/12', '192.36.148.0/24', '200.40.16.0/20', '131.103.0.0/16', '82.112.96.0/19', '217.169.0.0/19', '147.229.224.0/19', '61.206.128.0/18', '149.6.0.0/15', '78.152.64.0/19', '216.66.80.0/20', '83.212.0.0/16', '202.12.27.0/24', '149.14.0.0/16', '87.245.192.0/18', '129.250.0.0/16', '210.173.160.0/19', '78.152.32.0/19', '212.162.0.0/18', '46.20.240.0/20', '213.133.96.0/19', '185.2.64.0/22', '212.18.32.0/19', '213.192.184.0/21', '192.65.184.0/21', '188.39.0.0/16', '193.190.0.0/15', '143.129.0.0/16', '193.171.255.0/24', '134.222.0.0/16', '58.138.0.0/17', '90.155.53.0/24', '199.252.155.0/24', '85.95.24.0/22', '46.165.192.0/22', '63.148.64.0/19', '178.162.192.0/19', '157.157.0.0/16', '80.94.64.0/20', '81.2.64.0/18', '144.232.0.0/16', '213.239.192.0/18', '63.150.128.0/20', '143.56.0.0/16', '46.249.192.0/20', '203.105.64.0/19', '217.20.124.0/23', '209.58.128.0/21', '62.128.0.0/19', '197.157.64.0/19', '130.117.0.0/16'])|set(['35370', '49515', '2611', '668', '1120', '3908', '20712', '9498', '7521', '7342', '29216', '17676', '8468', '174', '15412', '197451', '25091', '5580', '7203', '6667', '3257', '1299', '39122', '34984', '12337', '286', '2914', '209', '1239', '24940', '1200', '6730', '12703', '16265', '9002', '4436', '5539', '6939', '5927', '6057', '12859', '47872', '37271', '6677', '2497', '5408', '28753', '3356', '7500', '721', '513', '8591', '13030'])
5|48.484848484848484|6.25|set(['130.152.0.0/16'])|set(['226'])
52|59.210526315789465|11.11111111111111|set(['195.16.160.0/19', '80.249.208.0/21'])|set(['3356', '47872', '1200'])
12|64.70588235294117|27.27272727272727|set(['80.81.192.0/22', '143.56.0.0/16'])|set(['12693', '668'])
49|50.89285714285714|45.614035087719294|set(['212.119.0.0/19', '94.126.208.0/21', '141.136.96.0/20', '143.56.0.0/16', '140.6.0.0/16', '61.206.128.0/18', '90.155.53.0/24', '199.252.155.0/24', '129.250.0.0/16'])|set(['768', '2914', '668', '20712', '3257', '48294', '4436', '721', '17676'])
8|86.51162790697674|89.78494623655914|set(['24.25.0.0/17', '24.93.64.0/19', '154.48.0.0/12', '66.109.0.0/20', '66.110.0.0/17'])|set(['6453', '174', '7843', '11426'])
44|92.10526315789474|0.0|set([])|set([])
33|46.65629860031104|21.0|set(['141.136.96.0/20', '202.249.0.0/18', '154.48.0.0/12', '65.100.13.0/24', '154.24.0.0/13', '194.109.0.0/16', '80.249.208.0/21', '89.149.128.0/18', '192.112.36.0/24', '192.84.8.0/24', '91.215.148.0/22', '217.65.160.0/20', '192.5.5.0/24', '4.0.0.0/8', '193.0.18.0/23', '178.132.80.0/24', '193.170.0.0/15', '198.41.0.0/24', '83.136.32.0/21', '87.245.192.0/18', '129.250.0.0/16'])|set(['1200', '57344', '34612', '4436', '174', '3557', '30971', '1853', '3257', '5927', '8676', '36620', '36622', '2500', '2914', '3910', '209', '3333', '3356', '3265', '9002', '47872', '36631', '297', '36619'])
73|69.56521739130434|12.5|set(['194.116.96.0/19', '192.5.5.0/24', '192.203.230.0/24', '192.33.4.0/24', '193.0.14.0/24', '149.6.0.0/15', '213.133.96.0/19', '78.46.0.0/15', '84.205.83.0/24', '81.174.0.0/18', '213.198.0.0/17'])|set(['3557', '25152', '35612', '2914', '25309', '42', '24940', '12654', '297', '174', '2149'])
68|40.44117647058824|9.090909090909092|set(['4.15.210.0/23', '140.6.0.0/16', '80.249.208.0/21'])|set(['768', '3356', '47872', '1200'])
28|98.4567901234568|99.68652037617555|set(['103.245.240.0/22', '202.144.128.0/19'])|set(['17660'])
25|89.33333333333333|86.06965174129353|set(['41.86.232.0/21', '195.95.178.0/24', '130.117.0.0/16', '80.249.208.0/21', '193.251.150.0/24', '41.222.192.0/23', '91.210.16.0/22', '77.67.0.0/17', '213.239.192.0/18', '149.6.0.0/15', '80.231.0.0/16', '91.228.151.0/24', '38.0.0.0/8', '62.52.0.0/14', '193.251.240.0/20', '199.16.95.0/24'])|set(['47872', '31019', '6805', '6507', '1200', '24940', '3257', '37090', '39107', '6453', '7342', '5511', '174'])
65|100.0|0.0|set([])|set([])
10|55.00725689404935|5.013192612137203|set(['143.56.0.0/16', '86.40.0.0/13', '195.66.224.0/22', '84.116.0.0/16'])|set(['6830', '668', '34984', '5466'])
50|81.2366737739872|61.15485564304461|set(['193.190.0.0/15', '154.48.0.0/12', '213.219.128.0/18', '80.91.240.0/20', '140.6.0.0/16', '199.16.94.0/24', '212.71.0.0/19', '80.91.248.0/21', '143.129.0.0/16', '130.117.0.0/16', '199.252.154.0/24', '62.115.0.0/16', '184.104.0.0/15'])|set(['768', '6939', '2611', '1299', '7342', '721', '9031', '174'])
7|40.5940594059406|4.878048780487805|set(['188.1.0.0/16'])|set(['680'])
46|75.55296856810244|61.016949152542374|set(['109.105.96.0/20', '74.32.0.0/12', '80.249.208.0/21', '192.5.5.0/24', '64.86.0.0/16', '4.0.0.0/8', '68.86.80.0/20', '213.242.64.0/18', '154.48.0.0/12', '64.124.0.0/15', '206.82.128.0/20', '213.133.96.0/19', '208.184.0.0/15', '149.12.0.0/15', '129.250.0.0/16', '210.173.160.0/19', '109.163.234.0/23', '198.35.26.0/23', '200.160.0.0/20', '72.52.92.0/24', '66.198.96.0/19', '199.7.62.0/24', '184.104.0.0/15', '63.243.128.0/17', '199.16.94.0/24', '210.4.78.0/24'])|set(['3557', '22548', '174', '7922', '2603', '7521', '6461', '6453', '3223', '1200', '24940', '24122', '3356', '7342', '14907', '47872', '6939', '5650', '2914'])
71|66.68831168831169|0.5842259006815969|set(['140.6.0.0/16', '68.86.80.0/20', '192.112.36.0/24', '213.133.96.0/19'])|set(['768', '5927', '7922', '24940'])
31|94.55445544554455|73.29842931937172|set(['128.139.0.0/16', '62.40.96.0/19'])|set(['378', '20965'])
67|90.0|55.55555555555556|set(['193.251.240.0/20', '63.224.0.0/12', '192.112.36.0/24', '192.36.148.0/24'])|set(['5511', '209', '5927', '29216'])
27|66.66666666666666|0.0|set([])|set([])
40|71.83673469387755|65.9090909090909|set(['141.136.96.0/20', '89.149.128.0/18', '80.249.208.0/21', '195.187.128.0/17', '112.168.0.0/13', '194.146.105.0/24', '192.5.5.0/24', '80.88.240.0/20', '192.33.4.0/24', '195.22.192.0/19', '192.36.148.0/24', '143.56.0.0/16', '199.7.83.0/24', '206.82.128.0/20', '213.133.96.0/19', '213.200.64.0/18', '129.250.0.0/16', '199.7.71.0/24', '46.20.240.0/20', '77.67.0.0/17', '213.239.192.0/18', '130.117.0.0/16', '80.81.192.0/22', '198.41.0.0/24', '202.12.27.0/24', '213.207.8.0/24', '195.219.0.0/16', '199.252.154.0/24', '192.112.36.0/24'])|set(['668', '35313', '4766', '1200', '6453', '4436', '29216', '174', '8308', '3557', '25091', '12693', '6762', '3257', '5927', '8674', '36620', '36622', '2914', '20144', '24940', '24785', '47872', '36631', '7500', '721', '36619', '2149'])
16|92.15358931552588|96.19565217391305|set(['212.162.0.0/18', '5.57.16.0/22', '203.133.248.0/24', '192.248.0.0/17', '195.66.240.0/22', '5.57.17.0/24', '208.80.152.0/23', '222.165.128.0/18'])|set(['5459', '14907', '9329', '4608', '43996', '3356', '38229'])
1|98.28080229226362|98.54227405247813|set(['103.245.240.0/22', '202.144.128.0/19'])|set(['17660'])
56|96.49122807017544|94.54545454545455|set(['193.251.240.0/20'])|set(['5511'])
61|74.54545454545455|45.1219512195122|set(['84.205.83.0/24', '154.48.0.0/12', '138.18.0.0/16', '63.224.0.0/12', '195.66.224.0/22', '213.144.160.0/19', '202.73.37.0/24', '202.79.197.0/24', '62.72.128.0/19', '199.252.155.0/24', '132.147.112.0/24', '202.73.47.0/24', '210.171.224.0/20'])|set(['768', '5413', '209', '34984', '6762', '12654', '18106', '45903', '7527', '721', '174'])
