outageID|percentageFailedTraceroutes|percentageCouldPredictNextIP|problemPrefixes|problemAS
36|97.61904761904762|98.78048780487805|set(['103.245.240.0/22', '202.144.128.0/19'])|set(['17660'])
76|82.21574344023324|10.28368794326241|set(['194.116.96.0/19', '192.5.5.0/24', '192.203.230.0/24', '140.6.0.0/16', '193.0.14.0/24', '166.49.128.0/17', '213.133.96.0/19', '78.46.0.0/15', '84.205.83.0/24', '81.174.0.0/18'])|set(['3557', '25152', '35612', '25309', '5400', '42', '768', '24940', '12654', '297'])
20|41.66666666666667|0.0|set([])|set([])
60|92.3076923076923|0.0|set([])|set([])
57|50.0|0.0|set([])|set([])
0|83.33333333333334|0.0|set([])|set([])
17|81.3953488372093|8.571428571428571|set(['140.6.0.0/16'])|set(['768'])
41|56.97841726618705|51.26262626262626|set(['192.5.5.0/24', '140.6.0.0/16', '80.249.208.0/21', '113.197.0.0/20', '198.71.45.0/24', '62.40.96.0/19', '158.64.0.0/16', '195.22.192.0/19', '154.48.0.0/12', '192.36.148.0/24', '143.56.0.0/16', '65.100.13.0/24', '203.181.194.0/23', '149.6.0.0/15', '198.120.0.0/14', '222.165.128.0/18', '203.181.248.0/23', '213.239.192.0/18', '130.117.0.0/16', '80.81.192.0/22', '199.16.95.0/24', '199.252.154.0/24', '192.112.36.0/24', '192.248.0.0/17', '202.179.248.0/21'])|set(['768', '668', '1200', '7660', '9329', '7342', '29216', '24490', '174', '3557', '12693', '6762', '5927', '20965', '2602', '3910', '209', '24940', '7575', '47872', '11537', '721', '297', '38229'])
74|35.714285714285715|0.0|set([])|set([])
34|91.16022099447514|58.78787878787879|set(['66.75.0.0/16', '66.109.0.0/20', '107.14.16.0/20', '72.129.0.0/17'])|set(['20001', '7843'])
39|70.6896551724138|21.951219512195124|set(['24.162.224.0/19', '198.120.0.0/14', '192.112.36.0/24', '66.26.32.0/19'])|set(['297', '5927', '11426'])
62|97.72727272727273|87.20930232558139|set(['116.51.16.0/20', '103.245.240.0/22', '202.144.128.0/19'])|set(['2914', '17660'])
22|100.0|0.0|set([])|set([])
15|86.53846153846155|48.888888888888886|set(['185.48.240.0/22', '46.162.192.0/19', '195.66.224.0/22', '91.103.63.0/24', '140.6.0.0/16'])|set(['44395', '768', '41965', '8932', '34984'])
2|59.64912280701754|5.88235294117647|set(['152.176.0.0/12', '4.0.0.0/8'])|set(['3356', '701'])
55|56.75675675675676|19.047619047619047|set(['143.56.0.0/16', '130.152.0.0/16', '130.244.0.0/16', '203.208.128.0/17'])|set(['668', '1257', '7473', '226'])
58|75.8459135866736|3.63761153054221|set(['78.46.0.0/15', '80.249.208.0/21', '192.112.36.0/24', '213.133.96.0/19'])|set(['5927', '47872', '24940', '1200'])
18|63.8058748403576|3.362690152121697|set(['84.233.128.0/17', '202.12.27.0/24', '134.102.0.0/16', '199.16.95.0/24', '143.56.0.0/16', '138.187.128.0/18', '213.239.192.0/18', '65.100.13.0/24', '216.66.0.0/19', '130.152.0.0/16', '154.48.0.0/12', '192.112.36.0/24', '62.40.96.0/19', '4.0.0.0/8', '83.167.32.0/19', '198.71.45.0/24', '129.250.0.0/16', '194.109.0.0/16', '213.248.64.0/18'])|set(['3303', '8218', '6939', '2914', '7342', '668', '209', '3910', '11537', '5927', '24940', '680', '3356', '3265', '20965', '226', '7500', '174', '1299', '8928'])
43|NA|NA|set([])|set([])
64|65.11627906976744|14.285714285714285|set(['199.252.155.0/24'])|set(['721'])
24|NA|NA|set([])|set([])
72|85.71428571428571|50.0|set(['62.115.0.0/16', '140.6.0.0/16', '213.239.192.0/18'])|set(['768', '1299', '24940'])
32|80.55555555555556|3.4482758620689653|set(['80.81.192.0/22'])|set(['12693'])
29|60.24096385542169|0.0|set([])|set([])
69|98.30508474576271|50.86206896551724|set(['195.66.224.0/22', '149.6.0.0/15', '202.1.206.0/24', '222.165.128.0/18'])|set(['174', '7642', '9329', '34984'])
9|59.66386554621849|28.169014084507044|set(['80.236.0.0/18', '208.46.32.0/20', '130.244.0.0/16'])|set(['209', '1257', '21502'])
45|100.0|0.0|set([])|set([])
13|88.6039886039886|14.790996784565916|set(['202.12.27.0/24', '192.5.5.0/24', '199.16.95.0/24', '199.7.83.0/24', '130.152.0.0/16', '65.100.13.0/24', '199.7.55.0/24', '213.239.192.0/18', '195.219.0.0/16', '213.133.96.0/19', '80.231.0.0/16', '78.46.0.0/15', '195.22.192.0/19', '129.250.0.0/16'])|set(['3557', '2914', '20144', '3910', '209', '7500', '6762', '24940', '6453', '7342', '226', '36623'])
53|61.904761904761905|23.076923076923077|set(['143.56.0.0/16', '192.203.230.0/24'])|set(['297', '42', '668'])
4|44.44444444444444|25.0|set(['192.228.79.0/24'])|set(['226'])
