outageID|percentageFailedTraceroutes|percentageCouldPredictNextIP|problemPrefixes|problemAS
36|95.87628865979381|100.0|set(['103.245.240.0/22', '202.144.128.0/19'])|set(['17660'])
76|45.89041095890411|1.4925373134328357|set(['195.66.224.0/22'])|set(['34984'])
20|0.0|NA|set([])|set([])
60|NA|NA|set([])|set([])
57|NA|NA|set([])|set([])
0|50.0|50.0|set(['41.85.160.0/19'])|set(['28683'])
17|25.0|0.0|set([])|set([])
41|18.128654970760234|82.79569892473118|set(['200.160.0.0/20', '203.133.248.0/24', '62.40.96.0/19', '195.22.192.0/19', '194.150.191.0/24', '5.57.16.0/22', '149.6.0.0/15', '203.48.0.0/14', '221.120.224.0/19', '213.29.0.0/16', '208.80.152.0/23', '222.165.128.0/18', '72.52.92.0/24', '80.81.192.0/22', '94.186.128.0/17', '202.147.0.0/18', '195.30.0.0/16', '80.91.240.0/20', '192.248.0.0/17', '202.179.248.0/21', '62.115.0.0/16', '5.57.17.0/24', '195.66.240.0/22'])|set(['22548', '5459', '174', '12693', '1221', '17557', '33988', '6762', '14907', '10026', '9329', '20965', '4608', '48918', '24490', '5588', '5539', '6939', '43996', '1299', '38229'])
74|0.0|NA|set([])|set([])
34|85.84905660377359|84.61538461538461|set(['107.14.16.0/20', '66.109.0.0/20', '202.84.128.0/17', '197.80.0.0/13', '72.129.0.0/17'])|set(['10474', '4637', '7843', '20001'])
39|81.81818181818183|100.0|set(['24.162.224.0/19', '66.26.32.0/19'])|set(['11426'])
62|95.45454545454545|100.0|set(['103.245.240.0/22', '202.144.128.0/19'])|set(['17660'])
22|NA|NA|set([])|set([])
15|32.142857142857146|100.0|set(['185.48.240.0/22'])|set(['8932'])
2|10.344827586206897|0.0|set([])|set([])
55|66.66666666666666|0.0|set([])|set([])
58|0.5747126436781609|100.0|set(['68.86.80.0/20', '202.149.192.0/19'])|set(['17762', '7922'])
18|2.0080321285140563|90.0|set(['192.1.100.0/24', '193.95.128.0/18', '4.0.0.0/8', '141.136.96.0/20', '31.15.112.0/21', '134.102.0.0/16', '195.219.0.0/16', '203.133.248.0/24', '46.29.120.0/21', '83.212.0.0/16', '66.198.64.0/20', '195.69.144.0/22', '129.250.0.0/16'])|set(['2914', '3257', '1200', '56704', '4436', '6453', '3356', '4608', '11488', '2110', '5408', '35625', '680'])
43|NA|NA|set([])|set([])
64|0.0|NA|set([])|set([])
24|NA|NA|set([])|set([])
72|14.285714285714285|0.0|set([])|set([])
32|40.909090909090914|0.0|set([])|set([])
29|9.090909090909092|0.0|set([])|set([])
69|94.14414414414415|58.61244019138756|set(['74.82.46.0/24', '195.66.224.0/22', '149.6.0.0/15', '222.165.128.0/18', '202.1.206.0/24', '202.1.205.0/24'])|set(['174', '7642', '9329', '6939', '34984'])
9|10.465116279069768|0.0|set([])|set([])
45|50.0|0.0|set([])|set([])
13|50.0|100.0|set(['94.186.178.0/24', '194.109.0.0/16'])|set(['3265', '48918'])
53|NA|NA|set([])|set([])
4|0.0|NA|set([])|set([])
48|41.935483870967744|30.76923076923077|set(['195.22.192.0/19'])|set(['6762'])
26|66.66666666666666|0.0|set([])|set([])
66|15.384615384615385|100.0|set(['193.156.0.0/15'])|set(['224'])
30|20.224719101123593|5.555555555555555|set(['193.105.163.0/24'])|set(['13004'])
70|0.0|NA|set([])|set([])
47|64.70588235294117|100.0|set(['195.3.64.0/18'])|set(['8447'])
6|75.0|90.47619047619048|set(['141.136.96.0/20', '154.48.0.0/12', '41.85.160.0/19', '77.67.0.0/17', '41.222.192.0/23', '89.149.128.0/18'])|set(['37090', '174', '28683', '4436', '3257'])
51|0.0|NA|set([])|set([])
11|16.33986928104575|85.0|set(['82.197.160.0/20', '188.95.32.0/21', '81.187.0.0/16', '195.141.0.0/16', '80.249.208.0/21', '149.11.0.0/16', '195.66.224.0/22', '4.0.0.0/8', '213.136.0.0/19', '83.217.224.0/19', '38.0.0.0/8', '202.56.192.0/18', '85.95.24.0/22', '200.40.16.0/20', '82.112.96.0/19', '147.229.224.0/19', '149.6.0.0/15', '78.152.64.0/19', '216.66.80.0/20', '83.212.0.0/16', '87.245.192.0/18', '129.250.0.0/16', '78.152.32.0/19', '212.162.0.0/18', '46.20.240.0/20', '185.2.64.0/22', '212.18.32.0/19', '213.192.184.0/21', '213.155.128.0/19', '178.162.192.0/19', '143.129.0.0/16', '193.171.255.0/24', '134.222.0.0/16', '130.117.0.0/16', '90.155.53.0/24', '192.65.184.0/21', '46.165.192.0/22', '188.39.0.0/16', '157.157.0.0/16', '80.94.64.0/20', '81.2.64.0/18', '144.232.0.0/16', '195.30.0.0/16', '217.20.124.0/23', '193.190.0.0/15', '209.58.128.0/21'])|set(['35370', '49515', '2611', '1120', '20712', '9498', '8468', '174', '15412', '197451', '25091', '5580', '7203', '6667', '1299', '39122', '34984', '286', '2914', '1239', '1200', '6730', '6677', '16265', '9002', '5539', '6939', '513', '12859', '47872', '5408', '28753', '3356', '6057', '8591', '13030'])
5|16.666666666666664|0.0|set([])|set([])
52|0.0|NA|set([])|set([])
12|66.66666666666666|0.0|set([])|set([])
49|31.61764705882353|67.44186046511628|set(['141.136.96.0/20', '94.126.208.0/21', '90.155.53.0/24'])|set(['48294', '4436', '20712', '3257'])
8|86.36363636363636|100.0|set(['24.93.64.0/19'])|set(['11426'])
44|66.66666666666666|0.0|set([])|set([])
33|41.338582677165356|11.904761904761903|set(['80.249.208.0/21', '89.149.128.0/18', '193.0.18.0/23', '178.132.80.0/24', '83.136.32.0/21', '91.215.148.0/22', '217.65.160.0/20', '154.48.0.0/12', '4.0.0.0/8', '193.170.0.0/15', '154.24.0.0/13', '87.245.192.0/18', '194.109.0.0/16', '129.250.0.0/16'])|set(['47872', '2914', '30971', '1853', '1200', '57344', '3257', '3333', '34612', '3356', '3265', '8676', '4436', '174', '9002'])
73|41.30434782608695|10.526315789473683|set(['194.116.96.0/19', '213.198.0.0/17'])|set(['2914', '25309'])
68|12.727272727272727|0.0|set([])|set([])
28|98.09523809523809|99.02912621359224|set(['103.245.240.0/22', '202.144.128.0/19'])|set(['17660'])
