outageID|trRate|percentageFailedTraceroutes|percentageCouldPredictNextIP|problemProbes|lenProblemProbes|problemProbePrefixes24|lenProblemProbePrefixes24|problemPrefixes|lenProblemPrefixes|problemPrefixes24|lenProblemPrefixes24|defOutagePrefixes|lenDefOutagePrefixes|defOutageProbePrefixes|lenDefOutageProbePrefixes|problemAS
76|-1.013974710569753e-06|71.37014314928425|8.595988538681947|set([3267, 14695, 24553, 14279, 3188, 1240, 16185, 15098, 17533, 14686])|10|set([u'5.157.127.0/24', u'149.71.135.0/24', u'149.71.130.0/24', u'88.149.250.0/24', u'185.11.20.0/24', u'88.149.172.0/24', u'81.174.31.0/24', u'88.147.93.0/24'])|8|set(['194.116.96.0/19', '192.5.5.0/24', '192.203.230.0/24', '140.6.0.0/16', '193.0.14.0/24', '195.66.224.0/22', '166.49.128.0/17', '213.133.96.0/19', '78.46.0.0/15', '84.205.83.0/24', '81.174.0.0/18'])|11|set(['166.49.208.0/24', '194.116.96.0/24', '192.5.5.0/24', '192.203.230.0/24', '193.0.14.0/24', '140.6.0.0/24', '166.49.243.0/24', '81.174.0.0/24', '213.133.109.0/24', '195.66.226.0/24', '84.205.83.0/24', '78.46.48.0/24'])|12|set([IPv4Network(u'81.174.0.0/24'), IPv4Network(u'213.133.109.0/24')])|2|set([IPv4Network(u'5.157.127.0/24'), IPv4Network(u'149.71.135.0/24'), IPv4Network(u'149.71.130.0/24'), IPv4Network(u'88.149.250.0/24'), IPv4Network(u'185.11.20.0/24'), IPv4Network(u'81.174.31.0/24'), IPv4Network(u'88.149.172.0/24')])|7|set(['3557', '25152', '35612', '25309', '5400', '42', '768', '24940', '12654', '34984', '297'])
20|-2.7161797513477634e-07|38.46153846153847|0.0|set([14206, 19566])|2|set([u'194.158.78.0/24', u'91.187.93.0/24'])|2|set([])|0|set([])|0|set([])|0|set([])|0|set([])
41|-1.476777566094927e-06|40.480132450331126|57.259713701431494|set([20449, 20421, 18790, 18727, 6089, 18794, 18731, 18732, 18185, 18643, 18772, 18729, 22617, 20410, 18716, 20477, 18719])|17|set([u'192.248.24.0/24', u'192.248.93.0/24', u'192.248.100.0/24', u'192.248.94.0/24', u'192.248.73.0/24', u'124.43.64.0/24', u'192.248.64.0/24', u'192.248.14.0/24', u'223.224.15.0/24', u'192.248.87.0/24', u'192.248.88.0/24', u'192.248.4.0/24', u'192.248.1.0/24', u'192.248.56.0/24', u'192.248.104.0/24', u'192.248.21.0/24'])|16|set(['192.5.5.0/24', '140.6.0.0/16', '80.249.208.0/21', '113.197.0.0/20', '192.112.36.0/24', '198.71.45.0/24', '203.133.248.0/24', '62.40.96.0/19', '158.64.0.0/16', '195.22.192.0/19', '154.48.0.0/12', '192.36.148.0/24', '143.56.0.0/16', '5.57.16.0/22', '65.100.13.0/24', '203.181.194.0/23', '149.6.0.0/15', '203.48.0.0/14', '198.120.0.0/14', '221.120.224.0/19', '213.29.0.0/16', '199.16.95.0/24', '200.160.0.0/20', '222.165.128.0/18', '203.181.248.0/23', '72.52.92.0/24', '213.239.192.0/18', '130.117.0.0/16', '80.81.192.0/22', '94.186.128.0/17', '194.150.191.0/24', '199.252.154.0/24', '202.147.0.0/18', '195.30.0.0/16', '208.80.152.0/23', '80.91.240.0/20', '192.248.0.0/17', '202.179.248.0/21', '62.115.0.0/16', '5.57.17.0/24', '195.66.240.0/22'])|41|set(['143.56.244.0/24', '192.5.5.0/24', '62.115.134.0/24', '140.6.244.0/24', '80.249.208.0/24', '203.133.248.0/24', '138.193.101.0/24', '222.165.177.0/24', '198.123.41.0/24', '65.100.13.0/24', '80.91.247.0/24', '207.231.240.0/24', '94.186.129.0/24', '192.36.148.0/24', '62.40.124.0/24', '5.57.16.0/24', '149.6.155.0/24', '192.248.0.0/24', '195.22.214.0/24', '203.181.249.0/24', '203.181.194.0/24', '80.81.194.0/24', '113.197.15.0/24', '199.16.95.0/24', '195.66.241.0/24', '221.120.254.0/24', '128.161.3.0/24', '202.179.249.0/24', '149.6.149.0/24', '80.241.46.0/24', '203.181.248.0/24', '195.30.70.0/24', '203.50.51.0/24', '72.52.92.0/24', '200.160.0.0/24', '198.71.45.0/24', '202.147.50.0/24', '154.54.77.0/24', '222.165.175.0/24', '208.80.152.0/24', '80.81.192.0/24', '62.40.98.0/24', '213.239.245.0/24', '194.150.191.0/24', '5.57.17.0/24', '62.115.113.0/24', '192.112.36.0/24', '222.165.149.0/24', '213.29.169.0/24', '158.64.16.0/24', '199.252.154.0/24', '130.117.49.0/24', '192.248.1.0/24', '138.193.111.0/24'])|54|set([IPv4Network(u'113.197.15.0/24'), IPv4Network(u'199.16.95.0/24'), IPv4Network(u'158.64.16.0/24'), IPv4Network(u'72.52.92.0/24'), IPv4Network(u'192.248.1.0/24')])|5|set([IPv4Network(u'192.248.93.0/24'), IPv4Network(u'192.248.64.0/24'), IPv4Network(u'192.248.87.0/24'), IPv4Network(u'192.248.4.0/24'), IPv4Network(u'192.248.1.0/24'), IPv4Network(u'192.248.88.0/24')])|6|set(['22548', '768', '1221', '668', '17557', '48918', '1200', '10026', '7660', '9329', '7342', '29216', '24490', '174', '3557', '5459', '12693', '6762', '5588', '1299', '20965', '33988', '2602', '3910', '209', '5927', '24940', '14907', '4608', '7575', '5539', '6939', '43996', '47872', '11537', '721', '297', '38229'])
39|-2.887196864910923e-07|72.46376811594203|36.0|set([14794, 12143, 11797, 3690, 22511])|5|set([u'174.109.117.0/24', u'75.177.141.0/24', u'45.37.160.0/24', u'107.13.61.0/24', u'65.190.176.0/24'])|5|set(['24.162.224.0/19', '198.120.0.0/14', '192.112.36.0/24', '66.26.32.0/19'])|4|set(['66.26.45.0/24', '192.112.36.0/24', '24.162.250.0/24', '66.26.32.0/24', '198.123.41.0/24', '67.14.38.0/24'])|6|set([IPv4Network(u'66.26.45.0/24')])|1|set([IPv4Network(u'174.109.117.0/24'), IPv4Network(u'75.177.141.0/24'), IPv4Network(u'65.190.176.0/24'), IPv4Network(u'107.13.61.0/24')])|4|set(['297', '5927', '11426'])
15|-2.0740044670018824e-07|67.5|57.407407407407405|set([10723, 872, 10729, 10609, 11606, 11256, 25402, 11195])|8|set([u'109.68.120.0/24', u'93.94.220.0/24', u'185.77.195.0/24', u'109.105.159.0/24', u'185.77.194.0/24', u'46.162.192.0/24'])|6|set(['185.48.240.0/22', '46.162.192.0/19', '195.66.224.0/22', '91.103.63.0/24', '140.6.0.0/16'])|5|set(['195.66.225.0/24', '185.48.240.0/24', '140.6.0.0/24', '91.103.63.0/24', '185.48.241.0/24', '46.162.192.0/24'])|6|set([IPv4Network(u'91.103.63.0/24'), IPv4Network(u'185.48.241.0/24'), IPv4Network(u'46.162.192.0/24')])|3|set([IPv4Network(u'93.94.220.0/24'), IPv4Network(u'46.162.192.0/24')])|2|set(['44395', '768', '41965', '8932', '34984'])
55|-4.062872944034856e-07|57.14285714285714|18.181818181818183|set([4124, 14220, 15604, 20526])|4|set([u'42.60.92.0/24', u'121.6.59.0/24'])|2|set(['143.56.0.0/16', '130.152.0.0/16', '130.244.0.0/16', '203.208.128.0/17'])|4|set(['203.208.171.0/24', '130.152.181.0/24', '130.244.39.0/24', '143.56.244.0/24'])|4|set([])|0|set([])|0|set(['668', '1257', '7473', '226'])
43|0|NoTR|NoFTR|set([])|0|set([])|0|set([])|0|set([])|0|set([])|0|set([])|0|set([])
64|-1.446058442348464e-07|58.333333333333336|14.285714285714285|set([14626, 14183, 14184, 16085, 15097, 14076, 14622])|7|set([u'132.147.88.0/24', u'132.147.103.0/24', u'202.83.104.0/24', u'132.147.102.0/24', u'202.83.109.0/24'])|5|set(['199.252.155.0/24'])|1|set(['103.16.102.0/24', '199.252.155.0/24'])|2|set([])|0|set([])|0|set(['721'])
24|0|NoTR|NoFTR|set([])|0|set([])|0|set([])|0|set([])|0|set([])|0|set([])|0|set([])
72|-4.823794009513386e-08|50.0|42.857142857142854|set([14695, 24553, 14279, 11660, 14686, 22975])|6|set([u'88.147.117.0/24', u'5.157.127.0/24', u'88.149.203.0/24', u'149.71.135.0/24', u'88.147.93.0/24'])|5|set(['62.115.0.0/16', '140.6.0.0/16', '213.239.192.0/18'])|3|set(['213.239.245.0/24', '62.115.9.0/24', '140.6.0.0/24'])|3|set([])|0|set([IPv4Network(u'5.157.127.0/24'), IPv4Network(u'88.149.203.0/24'), IPv4Network(u'149.71.135.0/24')])|3|set(['768', '1299', '24940'])
