R_normal,R_outage
1.0,0.36
1.02,0.07
1.03,0.22
1.05,0.25
1.0,0.36
0.0,0.35
1.0,0.24
0.98,0.26
0.89,0.13
1.0,0.3
0.0,0.52
1.44,0.16
0.98,0.17
5.14,0.14
1.0,0.07
0.0,0.09
0.98,0.56
0.98,0.16
1.0,0.08
0.8,0.18
0.94,0.17
1.22,0.02
1.07,0.15
0.97,0.14
1.0,0.5
1.26,0.17
1.08,0.14
1.03,0.29
1.02,0.12
1.35,0.05
1.03,0.16
1.15,0.0
1.18,0.05
1.87,0.42
0.98,0.15
1.0,0.12
0.82,0.09
0.96,0.0
1.03,0.22
1.02,0.29
0.88,0.04
0.96,0.0
0.0,0.09
1.09,0.02
0.88,0.03
1.32,0.09
1.22,0.02
0.0,0.28
1.0,0.24
0.85,0.62
1.09,0.14
0.87,0.02
0.0,0.77
1.0,0.18
1.0,0.05
1.02,0.24
0.87,0.25
1.0,0.21
1.11,0.08
1.16,0.11
1.04,0.46
0.96,0.18
1.65,0.16
0.0,0.47
0.79,0.23
1.02,0.38
1.0,0.23
1.0,0.18
0.96,0.23
1.1,0.16
1.15,0.14
1.26,0.54
1.92,0.78
1.0,0.18
0.95,0.22
1.05,0.26
0.82,0.04
1.32,0.11
0.99,0.24
0.99,0.19
1.11,0.17
1.04,0.07
1.0,0.25
1.58,0.1
1.03,0.09
0.97,0.13
1.09,0.42
1.29,0.04
1.0,0.04
2.17,0.2
0.98,0.15
1.02,0.28
1.33,0.14
1.02,0.16
0.98,0.21
1.18,0.27
1.0,0.02
1.04,0.14
1.0,0.47
8.14,0.16
1.71,1.24
1.0,0.21
0.0,0.11
1.04,0.06
1.09,0.31
0.96,0.01
5.42,0.08
0.88,0.16
1.03,0.17
0.0,0.04
1.0,0.31
1.02,0.26
1.07,0.45
0.92,0.46
1.14,0.13
0.95,0.24
1.0,0.28
1.1,0.02
1.0,0.23
0.95,0.49
1.02,0.12
1.0,0.03
1.32,0.47
1.0,0.33
1.02,0.23
1.02,0.26
1.02,0.25
1.03,0.19
1.04,0.04
0.98,0.0
1.06,0.02
0.91,0.21
0.0,0.62
0.99,0.31
1.0,0.19
0.0,0.14
0.96,0.29
0.98,0.02
1.23,0.03
1.01,0.21
1.02,0.18
1.0,0.31
1.0,0.23
1.37,0.1
1.0,0.27
1.65,0.33
1.76,0.12
1.03,0.21
0.99,0.16
0.98,0.1
4.0,0.0
1.54,0.0
0.0,0.41
1.0,0.18
1.31,0.02
1.16,0.02
1.08,0.07
1.0,0.32
1.12,0.04
0.95,0.3
1.0,0.07
0.95,0.13
0.81,0.04
1.02,0.0
1.27,0.07
2.52,0.12
1.38,0.08
1.11,0.14
1.1,0.42
0.99,0.14
0.95,0.23
0.98,0.02
1.17,0.16
1.23,0.07
1.07,0.11
1.02,0.25
3.18,0.04
1.38,0.32
0.92,0.0
1.0,0.32
1.18,0.04
0.97,0.0
1.08,0.11
4.1,0.08
1.09,0.03
1.0,0.0
0.0,0.17
0.0,0.12
0.94,0.17
1.02,0.24
1.43,0.2
0.91,0.2
2.32,0.15
1.04,0.15
1.08,0.15
1.0,0.43
0.84,0.04
1.08,0.08
2.3,0.0
1.09,0.02
1.02,0.0
1.03,0.14
1.02,0.06
1.05,0.1
0.0,0.29
1.3,0.06
1.47,0.35
1.2,0.11
0.24,0.07
1.07,0.11
1.0,0.19
1.1,0.61
0.98,0.32
0.97,0.06
1.05,0.19
1.11,0.03
0.0,0.35
1.03,0.21
0.98,0.05
0.0,0.47
1.33,0.05
0.95,0.03
0.0,0.0
1.29,0.21
1.1,0.12
1.0,0.06
0.94,0.11
1.0,0.43
1.0,0.28
1.0,0.44
1.0,0.06
0.97,0.21
1.02,0.13
0.98,0.21
0.92,0.19
1.02,0.04
1.05,0.0
0.9,0.09
1.04,0.47
0.0,0.11
1.0,0.56
1.03,0.35
1.16,0.15
2.2,0.08
0.98,0.34
1.06,0.21
0.46,0.16
1.06,0.32
0.96,0.09
0.98,0.38
0.87,0.3
1.0,0.03
0.0,0.87
0.94,0.07
0.94,0.02
0.98,0.09
4.78,0.15
11.5,0.24
1.25,0.15
0.83,0.02
1.02,0.4
1.12,0.23
1.26,0.3
1.84,0.09
4.07,0.08
1.0,0.21
1.0,0.29
1.12,0.63
1.55,0.15
